Country,Date,Confirmed,New_confirmed,New_confirmed_mvavg,Deaths,New_deaths,New_deaths_mvavg,,,
Hubei,1/22/20,444,0,0,17,0,0,,,
Hubei,1/23/20,444,0,0,17,0,0,,,
Hubei,1/24/20,549,105,35,24,7,2,,,
Hubei,1/25/20,761,212,106,40,16,8,,,
Hubei,1/26/20,1058,297,205,52,12,12,,,
Hubei,1/27/20,1423,365,291,76,24,17,,,
Hubei,1/28/20,3554,2131,931,125,49,28,,,
Hubei,1/29/20,3554,0,832,125,0,24,,,
Hubei,1/30/20,4903,1349,1160,162,37,29,,,
Hubei,1/31/20,5806,903,751,204,42,26,,,
Hubei,02/01/20,7153,1347,1200,249,45,41,,,
Hubei,02/02/20,11177,4024,2091,350,101,63,,,
Hubei,02/03/20,13522,2345,2572,414,64,70,,,
Hubei,02/04/20,16678,3156,3175,479,65,77,,,
Hubei,02/05/20,19665,2987,2829,549,70,66,,,
Hubei,02/06/20,22112,2447,2863,618,69,68,,,
Hubei,02/07/20,24953,2841,2758,699,81,73,,,
Hubei,02/08/20,27100,2147,2478,780,81,77,,,
Hubei,02/09/20,29631,2531,2506,871,91,84,,,
Hubei,02/10/20,31728,2097,2258,974,103,92,,,
Hubei,02/11/20,33366,1638,2089,1068,94,96,,,
Hubei,02/12/20,33366,0,1245,1068,0,66,,,
Hubei,2/13/20,48206,14840,5493,1310,242,112,,,
Hubei,2/14/20,54406,6200,7013,1457,147,130,,,
Hubei,2/15/20,56249,1843,7628,1596,139,176,,,
Hubei,2/16/20,58182,1933,3325,1696,100,129,,,
Hubei,2/17/20,59989,1807,1861,1789,93,111,,,
Hubei,2/18/20,61682,1693,1811,1921,132,108,,,
Hubei,2/19/20,62031,349,1283,2029,108,111,,,
Hubei,2/20/20,62442,411,818,2144,115,118,,,
Hubei,2/21/20,62662,220,327,2144,0,74,,,
Hubei,2/22/20,64084,1422,684,2346,202,106,,,
Hubei,2/23/20,64084,0,547,2346,0,67,,,
Hubei,2/24/20,64287,203,542,2495,149,117,,,
Hubei,2/25/20,64786,499,234,2563,68,72,,,
Hubei,2/26/20,65187,401,368,2615,52,90,,,
Hubei,2/27/20,65596,409,436,2641,26,49,,,
Hubei,2/28/20,65914,318,376,2682,41,40,,,
Hubei,2/29/20,66337,423,383,2727,45,37,,,
Hubei,03/01/20,66907,570,437,2761,34,40,,,
Hubei,03/02/20,67103,196,396,2803,42,40,,,
Hubei,03/03/20,67217,114,293,2835,32,36,,,
Hubei,03/04/20,67332,115,142,2871,36,37,,,
Hubei,03/05/20,67466,134,121,2902,31,33,,,
Hubei,03/06/20,67592,126,125,2931,29,32,,,
Hubei,03/07/20,67666,74,111,2959,28,29,,,
Hubei,03/08/20,67707,41,80,2986,27,28,,,
Hubei,03/09/20,67743,36,50,3008,22,26,,,
Hubei,03/10/20,67760,17,31,3024,16,22,,,
Hubei,03/11/20,67773,13,22,3046,22,20,,,
Hubei,03/12/20,67781,8,13,3056,10,16,,,
Hubei,3/13/20,67786,5,9,3062,6,13,,,
Hubei,3/14/20,67790,4,6,3075,13,10,,,
Hubei,3/15/20,67794,4,4,3085,10,10,,,
Hubei,3/16/20,67798,4,4,3099,14,12,,,
Hubei,3/17/20,67799,1,3,3111,12,12,,,
Hubei,3/18/20,67800,1,2,3122,11,12,,,
Hubei,3/19/20,67800,0,1,3130,8,10,,,
Hubei,3/20/20,67800,0,0,3133,3,7,,,
Hubei,3/21/20,67800,0,0,3139,6,6,,,
Hubei,3/22/20,67800,0,0,3153,14,8,,,
Hubei,3/23/20,67800,0,0,3153,0,7,,,
Hubei,3/24/20,67801,1,0,3160,7,7,,,
Hubei,3/25/20,67801,0,0,3163,3,3,,,
Hubei,3/26/20,67801,0,0,3169,6,5,,,
Hubei,3/27/20,67801,0,0,3174,5,5,,,
Hubei,3/28/20,67801,0,0,3177,3,5,,,
Hubei,3/29/20,67801,0,0,3182,5,4,,,
Hubei,3/30/20,67801,0,0,3186,4,4,,,
Hubei,3/31/20,67801,0,0,3187,1,3,,,
Hubei,04/01/20,67802,1,0,3193,6,4,,,
Hubei,04/02/20,67802,0,0,3199,6,4,,,
Hubei,04/03/20,67802,0,0,3203,4,5,,,
Hubei,04/04/20,67803,1,0,3207,4,5,,,
Hubei,04/05/20,67803,0,0,3210,3,4,,,
Hubei,04/06/20,67803,0,0,3212,2,3,,,
Hubei,04/07/20,67803,0,0,3212,0,2,,,
Hubei,04/08/20,67803,0,0,3213,1,1,,,
